suffix,tags
-tron,tech
-thon,rituel
-gate,drame
-dèche,argot
-rama,spectacle
-vision,média
-phone,tech
-scope,science
-drome,lieu
-ite,science
-ose,science
-mobile,tech
-sphere,science
-gramme,science
-yme,science
