id,form,alt_forms,gloss,origin,domain,connector_pref,examples,weight,root_lang,proto_root,ety_desc,ety_lineage,semantic_field,sources
root_odonto,odonto-,,tooth; toothed; tooth-like,grec,morpheme,o,,1.0,grc,,"From New Latin, from Ancient Greek ὀδούς (odoús, “tooth”)",translingue < NL. < grec,morpheme,wiktionary:fr::odonto-#prefix
root_saurus,-saurus,"-saura, -saurum","Forms genus names of lizards.; Forms genus names of dinosaurs, ichthyosaurs, mosasaurs, and other large extinct reptiles.",grec,"masculine,morpheme",,,1.0,grc,,"From Ancient Greek σαῦρος (saûros, “lizard, reptile”). The broader use, which has become standard especially for dinosaurs, follows some of the earliest non-avian dinosaur genera to be named, particularly Megalosaurus (literally “giant lizard”).",translingue < grec,"masculine,morpheme",wiktionary:fr::-saurus#suffix
root_acantho,acantho-,acanth-,With thorns,grec,morpheme,o,,1.0,grc,,"Borrowed from New Latin, from Ancient Greek ἄκανθος (ákanthos, “thorn plant”), from ἄκανθα (ákantha, “thorn”).",translingue < grec,morpheme,wiktionary:fr::acantho-#prefix
root_iformes,-iformes,,"Used to form taxonomic names, principally orders of animals.",latin,"morpheme,natural-sciences,science,taxonomy",,,1.0,la,,"From New Latin, from the Latin plural of -fōrmis (“-shaped”) (i.e., -fōrmēs), from fōrma (“form, contour, figure, shape, appearance, looks”).",translingue < NL. < latin,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-iformes#suffix
root_opsis,-opsis,,"Used to form taxonomic names, often at the level of genus: resemblance",grec,"feminine,morpheme",,,1.0,grc,,"From Ancient Greek ὄψις (ópsis, “aspect, appearance”).",translingue < grec,"feminine,morpheme",wiktionary:fr::-opsis#suffix
root_oides,-oides,,"resembling, -oid, -like",latin,"feminine,masculine,morpheme,natural-sciences,neuter,science,taxonomy",,,1.0,la,,"Borrowed from Latin -oīdēs (“-like, -oid”).",translingue < latin,"feminine,masculine,morpheme,natural-sciences,neuter,science,taxonomy",wiktionary:fr::-oides#suffix
root_acanthus,-acanthus,,Animal having a spine as specified.,grec,"morpheme,natural-sciences,science,zoology",,Anacanthus; Anisacanthus; Baphicacanthus; Calycacanthus; Caracanthus; Catacanthus; Caulacanthus; Centracanthus,1.0,grc,,"From New Latin [Term?], from Ancient Greek ἄκανθα (ákantha, “thorn, spine”)",translingue < NL. < grec,"morpheme,natural-sciences,science,zoology",wiktionary:fr::-acanthus#suffix
root_morpha,-morpha,,"Used to form taxonomic names of animals, usually at the level of infraorder or higher",grec,"morpheme,natural-sciences,science,zoology",,,1.0,grc,,"Borrowed from Ancient Greek μορφή (morphḗ, “shape, appearance”).",translingue < grec,"morpheme,natural-sciences,science,zoology",wiktionary:fr::-morpha#suffix
root_myces,-myces,,Used to form genus names of fungi,grec,"masculine,morpheme",,,1.0,grc,,"From Ancient Greek μύκης (múkēs, “mushroom, fungus”).",translingue < grec,"masculine,morpheme",wiktionary:fr::-myces#suffix
root_leio,leio-,lio-,Smooth.,grec,"morpheme,new-latin",o,,1.0,grc,,"From Ancient Greek λεῖος (leîos, “smooth”).",translingue < grec,"morpheme,new-latin",wiktionary:fr::leio-#prefix
root_poda,-poda,,Used to form taxonomic names of a rank higher than genus of animals having feet or foot-like parts,grec,morpheme,,,1.0,grc,,"New Latin, from Ancient Greek, plural of πούς (poús, “foot”)",translingue < NL. < grec,morpheme,wiktionary:fr::-poda#suffix
root_ornis,-ornis,,Used to form genus names of birds,grec,morpheme,,,1.0,grc,,"New Latin, from Ancient Greek ὄρνις (órnis, “bird”)",translingue < NL. < grec,morpheme,wiktionary:fr::-ornis#suffix
root_viridae,-viridae,,Used to form taxonomic names of families of viruses,translingue,"feminine,morpheme,plural",,,1.0,mul,,New Latin Virus + -idae,translingue < NL.,"feminine,morpheme,plural",wiktionary:fr::-viridae#suffix
root_anoplo,anoplo-,,Having no shield,grec,morpheme,o,,1.0,grc,,"New Latin, from Ancient Greek ἄνοπλος (ánoplos, “without shield”)",translingue < NL. < grec,morpheme,wiktionary:fr::anoplo-#prefix
root_aureo,aureo-,,Golden,latin,morpheme,o,,1.0,la,,From Latin aureus (“golden”).,translingue < latin,morpheme,wiktionary:fr::aureo-#prefix
root_aphano,aphano-,,Invisible.,grec,morpheme,o,,1.0,grc,,"New Latin, from Ancient Greek ἀφανής (aphanḗs, “unseen”)",translingue < NL. < grec,morpheme,wiktionary:fr::aphano-#prefix
root_phaeo,phaeo-,,gray.,grec,morpheme,o,,1.0,grc,,"New Latin, from Ancient Greek φαιός (phaiós, “gray”)",translingue < NL. < grec,morpheme,wiktionary:fr::phaeo-#prefix
root_nippono,nippono-,,Japanese.; Native to or discovered in Japan.,latin,morpheme,o,,1.0,la,,"From English Nippono-, from Japanese 日本(にっぽん) (Nippon, “Japan”).",translingue < anglais < ja,morpheme,wiktionary:fr::nippono-#prefix
root_eury,eury-,,"wide, broad",grec,morpheme,,Euryabax; Euryades; Euryale; Euryalusa; Euryancale; Euryapteryx; Euryaptus; Euryarchaeota,1.0,grc,,"New Latin, from Ancient Greek εὐρύς (eurús, “wide”).",translingue < NL. < grec,morpheme,wiktionary:fr::eury-#prefix
root_galacto,galacto-,,Used to form medical terms and taxonomic names; milk-related.,grec,morpheme,o,,1.0,grc,,"New Latin, from Ancient Greek stem γάλακτ- (gálakt-) of γάλα (gála, “milk, milky sap, the Milky Way”)",translingue < NL. < grec,morpheme,wiktionary:fr::galacto-#prefix
root_papillo,papillo-,,Used to form medical terms or taxonomic names relating to a papilla in any sense: either a nipple or resembling a nipple,latin,morpheme,o,Papillocepheus; Papilloderma; Papillogobius; papilloma; Papilloma; papillomatous; Papillopscus; papillorenal,1.0,la,,"From Latin papilla (“nipple, breast, pustule, rose bud”).",translingue < latin,morpheme,wiktionary:fr::papillo-#prefix
