id,form,alt_forms,gloss,origin,domain,connector_pref,examples,weight,root_lang,proto_root,ety_desc,ety_lineage,semantic_field,sources
root_a,a-,,Used to form taxonomic names indicating a lack of some feature that might be expected,grec,morpheme,,,1.0,grc,,"From the Ancient Greek ἀ- (a-, “not, without”).",translingue < grec,morpheme,wiktionary:fr::a-#prefix
root_mega,mega-,,"Used with taxon names to form other taxon names, usually for a morphologically similar taxon differing only in size",grec,morpheme,,,1.0,grc,,"From Ancient Greek μέγας (mégas, “great, large, mighty”).",translingue < grec,morpheme,wiktionary:fr::mega-#prefix
root_micro,micro-,,Very small.; One millionth.,grec,morpheme,o,,1.0,grc,,"From New Latin micro- (“small”), from Ancient Greek μικρός (mikrós, “small”).",translingue < NL. < grec,morpheme,wiktionary:fr::micro-#prefix
root_hexa,hexa-,hex-,six,grec,morpheme,,,1.0,grc,,"From Latin hexa-, from Ancient Greek ἑξα- (hexa-), from ἕξ (héx, “six”).",translingue < latin < grec,morpheme,wiktionary:fr::hexa-#prefix
root_tetra,tetra-,,four,grec,morpheme,,,1.0,grc,,From Ancient Greek τετρα- (tetra-).,translingue < grec,morpheme,wiktionary:fr::tetra-#prefix
root_hetero,hetero-,,"Different, dissimilar, other.",grec,morpheme,o,,1.0,grc,,Borrowed from Ancient Greek ἕτερος (héteros).,translingue < grec,morpheme,wiktionary:fr::hetero-#prefix
root_neo,neo-,,new. (Often used to form clade or taxonomic names indicating more recent branching than a morphologically or otherwise similar group.),grec,morpheme,o,Neoceti; Neognathae; Neoptera; Neopterygii; Neornithes,1.0,grc,,"From Ancient Greek νέος (néos, “new, young”).",translingue < grec,morpheme,wiktionary:fr::neo-#prefix
root_ulus,-ulus,,"used to form genus names, especially from other genus names, indicating smaller size",latin,"morpheme,natural-sciences,science,taxonomy",,,1.0,la,,From Latin -ulus (diminutive suffix).,translingue < latin,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-ulus#suffix
root_a2,-a,,Used to create genus names from proper nouns; Used to take the form of certain plural Latin-derived taxonomic names,latin,morpheme,,,1.0,la,,From Latin -a.,translingue < latin,morpheme,wiktionary:fr::-a#suffix
root_xeno,xeno-,,Used to form taxonomic names and epithets indicating strangeness,grec,morpheme,o,,1.0,grc,,"From Ancient Greek ξένος (xénos, “alien”).",translingue < grec,morpheme,wiktionary:fr::xeno-#prefix
root_hyper,hyper-,,hyper-,grec,morpheme,,,1.0,grc,,"From Ancient Greek ὑπέρ (hupér, “over”).",translingue < grec,morpheme,wiktionary:fr::hyper-#prefix
root_i,-i,,Used to form adjectives for the species descriptor of a scientific name.,latin,morpheme,,,1.0,la,,From Latin -i.,translingue < latin,morpheme,wiktionary:fr::-i#suffix
root_us,-us,,Used to form taxonomic names.,translingue,"masculine,morpheme,natural-sciences,science,taxonomy",,,1.0,mul,,Learned borrowing from Latin -us.,,"masculine,morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-us#suffix
root_cephalo,cephalo-,,Head.,grec,morpheme,o,,1.0,grc,,"Borrowed from Ancient Greek κεφαλή (kephalḗ, “head”).",translingue < grec,morpheme,wiktionary:fr::cephalo-#prefix
root_neuro,neuro-,,"nerves, nerve tissue, or the nervous system.",grec,morpheme,o,,1.0,grc,,"New Latin, from Ancient Greek νευρο- (neuro-), combining form of νεῦρον (neûron, “sinew, tendon, cord”)",translingue < NL. < grec,morpheme,wiktionary:fr::neuro-#prefix
root_archi,archi-,,Synonym of arch-.,grec,morpheme,,,1.0,grc,,"Late Latin archi- (“arch-, chief, first”), from Ancient Greek ἀρχι- (arkhi-, “chief, leading”), from ἄρχω (árkhō, “I begin, lead, rule, govern”)",translingue < LL. < grec,morpheme,wiktionary:fr::archi-#prefix
root_s,S-,,"one of two mirror-image forms of a stereocentre, part of a diastereomer",latin,"morpheme,natural-sciences,physical-sciences,science",,,1.0,la,,Abbreviation of Latin sinister (“left”),translingue < latin,"morpheme,natural-sciences,physical-sciences,science",wiktionary:fr::S-#prefix
root_acro,acro-,,sharp; tip; extremity; peak,grec,morpheme,o,,1.0,grc,,"From international scientific vocabulary, reflecting a New Latin combining form, from New Latin acro- (“pointed, first, high”) (from Ancient Greek ἄκρος (ákros, “highest, at the extremity”)).",translingue < NL. < grec,morpheme,wiktionary:fr::acro-#prefix
root_uro,uro-,,urine; relating to urine.,grec,morpheme,o,,1.0,grc,,From Ancient Greek οὖρον (oûron).,translingue < grec,morpheme,wiktionary:fr::uro-#prefix
root_meso,meso-,,intermediate in size or other characteristic.,grec,"morpheme,natural-sciences,science,taxonomy",o,Mesocricetus,1.0,grc,,"From Ancient Greek μέσος (mésos, “middle”).",translingue < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::meso-#prefix
root_gymno,gymno-,,naked,grec,morpheme,o,,1.0,grc,,"From Ancient Greek γυμνός (gumnós, “naked”).",translingue < grec,morpheme,wiktionary:fr::gymno-#prefix
root_chalco,chalco-,,"used to form taxonomic names, principally of genera",grec,morpheme,o,Chalcomitra; Chalcophaps; Chalcosoma,1.0,grc,,"New Latin, from Ancient Greek χαλκός (khalkós, “copper”).",translingue < NL. < grec,morpheme,wiktionary:fr::chalco-#prefix
root_afro,afro-,,Found in Africa.,latin,morpheme,o,,1.0,la,,"New Latin, from stem of Latin Afer (“African”), noun and adjective",translingue < NL. < latin,morpheme,wiktionary:fr::afro-#prefix
root_lepto,lepto-,,"thin, narrow",grec,"morpheme,natural-sciences,science,taxonomy",o,,1.0,grc,,"Borrowed from Ancient Greek λεπτός (leptós, “thin”).",translingue < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::lepto-#prefix
root_ophyta,-ophyta,,Used to form names of divisions or phyla of plants or algae,grec,"morpheme,natural-sciences,science,taxonomy",,Anthophyta; Chrysophyta; Euglenophyta; Prymnesiophyta; Pyrrophyta; Rhyniophyta; Trimerophytophyta; Xanthophyta,1.0,grc,,"From New Latin, from Ancient Greek φυτά (phutá), plural of φυτόν (phutón, “plant”), from φύω (phúō, “to bring forth, to produce, to put forth”).",translingue < NL. < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-ophyta#suffix
root_mycota,-mycota,,Used to form names of divisions or phyla of fungi,grec,"morpheme,natural-sciences,science,taxonomy",,,1.0,grc,,"From Ancient Greek μύκης (múkēs, “mushroom”) + -ota.",translingue < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-mycota#suffix
root_opsida,-opsida,,Used to form names of classes of plants,grec,"morpheme,natural-sciences,science,taxonomy",,Selaginellopsida; Isoetopsida; Ophioglossopsida,1.0,grc,,"New Latin, from stem of Ancient Greek ὄψις (ópsis, “appearance”)",translingue < NL. < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-opsida#suffix
root_phyceae,-phyceae,,Used to form names of classes of algae,grec,"feminine,morpheme,natural-sciences,plural,science,taxonomy",,,1.0,grc,,"New Latin, from Ancient Greek φῦκος (phûkos, “seaweed, wrack”)",translingue < NL. < grec,"feminine,morpheme,natural-sciences,plural,science,taxonomy",wiktionary:fr::-phyceae#suffix
root_mycetes,-mycetes,,Used to form names of classes of fungi and some bacteria,grec,"morpheme,natural-sciences,science,taxonomy",,,1.0,grc,,"New Latin, from Ancient Greek, a plural form of μύκης (múkēs, “mushroom, fungus, mushroom-shaped objects”)",translingue < NL. < grec,"morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-mycetes#suffix
root_idae,-idae,-idæ,Used to form names of subclasses of plants.; Used to form names of families of animals.,translingue,"morpheme,natural-sciences,plural,science,taxonomy",,,1.0,mul,,"Plural of a Latin transliteration of Ancient Greek -ίδης (-ídēs), a patronymic suffix. Known to have been interpreted by some as representing instead the plural of a Latin transliteration of Ancient Greek -ειδής (-eidḗs, adjectival suffix), from εἶδος (eîdos, “appearance, resemblance”). Proposed in 1811 by William Kirby, a British entomologist, to simplify and make uniform the system of Pierre André Latreille which divided insect orders into sections. See more on Wikipedia: Family (biology) § History.",,"morpheme,natural-sciences,plural,science,taxonomy",wiktionary:fr::-idae#suffix
root_mycetidae,-mycetidae,,Used to form names of subclasses of fungi.,grec,"feminine,morpheme,natural-sciences,plural,science,taxonomy",,,1.0,grc,,"New Latin, from Ancient Greek stem of μύκης (múkēs, “mushroom, fungus, mushroom-shaped objects”) + -idae",translingue < NL. < grec,"feminine,morpheme,natural-sciences,plural,science,taxonomy",wiktionary:fr::-mycetidae#suffix
root_anae,-anae,,"Used to form taxonomic names of superorders of plants, algae and fungi",translingue,"feminine,morpheme,natural-sciences,plural,science,taxonomy",,Hypnanae; Rhizogonianae,1.0,mul,,"New Latin, from feminine plural of Latin -anus",translingue < NL.,"feminine,morpheme,natural-sciences,plural,science,taxonomy",wiktionary:fr::-anae#suffix
root_ales,-ales,,Used to form taxonomic names of orders.,latin,"feminine,morpheme,natural-sciences,plural,science,taxonomy",,,1.0,la,,From Latin -ālis.,translingue < latin,"feminine,morpheme,natural-sciences,plural,science,taxonomy",wiktionary:fr::-ales#suffix
root_ineae,-ineae,,"Used to form names of suborders of plants, algae and fungi.",latin,"feminine,morpheme,plural",,,1.0,la,,"From New Latin -ineae, feminine plural of -ineus, either from Latin -īnus + -eus or rebracketed from words derived from nouns in -in- (e.g. coccineus).",translingue < la-new < latin,"feminine,morpheme,plural",wiktionary:fr::-ineae#suffix
root_acea,-acea,,"Used to form taxonomic names of superfamilies of plants, algae and fungi; Used to form taxonomic names of animals of the rank of order, suborder, or similar; Used to form taxonomic names of animals of the rank of superfamily before the taxonomic code was changed to prohibit such names",latin,"morpheme,natural-sciences,obsolete,science,taxonomy,zoology",,,1.0,la,,"From Latin -acea, neutral plural of -aceus: belonging to, the nature of (enlarged from adjective suffix -ax, genitive -acis).",translingue < latin,"morpheme,natural-sciences,obsolete,science,taxonomy,zoology",wiktionary:fr::-acea#suffix
root_aceae,-aceae,,"Used to form the name of taxonomic families of plants, algae, bacteria, and fungi",translingue,"feminine,morpheme,natural-sciences,plural,science,taxonomy",,,1.0,mul,,"From the Latin -āceae, the feminine plural of -āceus (“resembling”).",,"feminine,morpheme,natural-sciences,plural,science,taxonomy",wiktionary:fr::-aceae#suffix
root_oideae,-oideae,,"Used to form the taxonomic names of subfamilies of plants, algae and fungi",latin,"feminine,morpheme,plural",,,1.0,la,,"New Latin, from Latin feminine plural form of -oideus (“resembling”)",translingue < NL. < latin,"feminine,morpheme,plural",wiktionary:fr::-oideae#suffix
root_inae,-inae,-inæ,"Used to form names of subfamilies of animals.; Used to form names of subtribes of plants, algae and fungi and viruses.",latin,"feminine,morpheme,natural-sciences,plural,science,taxonomy",,,1.0,la,,"From Latin -īnae, feminine plural form of -īnus (“-ine”).",translingue < latin,"feminine,morpheme,natural-sciences,plural,science,taxonomy",wiktionary:fr::-inae#suffix
root_oidea,-oidea,,"Used to form names of superfamilies of animals. Name may be conserved when the rank is changed, as to a parv-, infra-, or suborder, or an order or higher rank. Previously used to form names of higher rank, eg, class, which are often conserved",latin,"morpheme,natural-sciences,neuter,plural,science,taxonomy",,,1.0,la,,"New Latin, from Latin neuter plural form of -oideus (“resembling”)",translingue < NL. < latin,"morpheme,natural-sciences,neuter,plural,science,taxonomy",wiktionary:fr::-oidea#suffix
root_ini,-ini,,Used to indicate tribes of animals,latin,"masculine,morpheme,natural-sciences,plural,science,taxonomy",,,1.0,la,,"New Latin, nominative plural form of Latin -inus",translingue < NL. < latin,"masculine,morpheme,natural-sciences,plural,science,taxonomy",wiktionary:fr::-ini#suffix
root_pan,pan-,,Used to form higher clades with one main member.,grec,morpheme,,,1.0,grc,,From Ancient Greek πᾰν- (păn-).,translingue < grec,morpheme,wiktionary:fr::pan-#prefix
root_ota,-ota,,Used to form names of taxa according to a prominent anatomical feature.,grec,morpheme,,,1.0,grc,,"From Ancient Greek -ωτά (-ōtá), neuter plural of -ωτός (-ōtós), verbal adjective from the stem of -όω (-óō, denominal verb suffix). Related to translingual -ote.",translingue < grec,morpheme,wiktionary:fr::-ota#suffix
root_aster,-aster,"-astra, -astrum, -astron",Used to create genera relating to stars; most commonly applied to echinoderms such as starfish and brittle stars.,grec,"masculine,morpheme",,,1.0,grc,,"Borrowed from Ancient Greek ᾰ̓στήρ (ăstḗr, “star; celestial body”).",translingue < grec,"masculine,morpheme",wiktionary:fr::-aster#suffix
root_crypto,crypto-,,Hidden,grec,morpheme,o,,1.0,grc,,"From Ancient Greek κρυπτός (kruptós, “hidden, secret”).",translingue < grec,morpheme,wiktionary:fr::crypto-#prefix
root_eu,eu-,,Used to form taxonomic names corresponding to English vernacular names beginning with true,grec,morpheme,,,1.0,grc,,"New Latin, from Ancient Greek εὖ (eû, “well, good”)",translingue < NL. < grec,morpheme,wiktionary:fr::eu-#prefix
root_hypo,hypo-,,hypo-,grec,morpheme,o,,1.0,grc,,"From Ancient Greek ὑπο- (hupo-), combining form of ὑπό (hupó, “under”).",translingue < grec,morpheme,wiktionary:fr::hypo-#prefix
root_ia,-ia,,"Used to form taxonomic names, especially to form genus names when appended to the name of a person, usually a scientist or a patron.",grec,"feminine,morpheme,natural-sciences,science,taxonomy",,,1.0,grc,,"From Latin -ia and Ancient Greek -ία (-ía), -εια (-eia), which form abstract nouns of feminine gender.",translingue < latin < grec,"feminine,morpheme,natural-sciences,science,taxonomy",wiktionary:fr::-ia#suffix
root_d,D-,,nonstandard form of da- (“deca-”),grec,"alt-of,metrology,morpheme,nonstandard",,,1.0,grc,,"From deca-/deka-. From French SI metric system origins. From Latin decas, from Ancient Greek δέκα (déka, “10”).",translingue < français < latin < grec,"alt-of,metrology,morpheme,nonstandard",wiktionary:fr::D-#prefix
